id,status,milestone,priority,title,description,area,category,files,verification,blocked_by,commit
20,done,Unreleased,,Two-role AI model split,"Conversational model for chat-shaped calls, main model for heavy structured generation - editor's instruction clarification pass and all three wizard calls.",ai_providers,feature,apps/ai_assistant/service.py;apps/ai_assistant/wizard_service.py,pytest,none,302e806
21,done,Unreleased,,AnthropicMessagesProvider for opencode.ai models,"Routed via /v1/messages (MiniMax, Qwen3.7 family) instead of chat/completions.",ai_providers,feature,apps/ai_assistant/providers.py,pytest,none,302e806
22,done,Unreleased,,document_validation.py full-document validation,Strict structural key checks at every nesting level; json-repair fallback for malformed AI JSON.,ai_security,feature,apps/ai_assistant/document_validation.py,pytest,none,302e806
23,done,Unreleased,,body_outline in edit-transform payload,So global-mode AI edits target real current indices instead of guessing.,ai_editor,bugfix,apps/ai_assistant/views.py;static/editor/editor-ai.js,pytest,none,302e806
24,done,Unreleased,,Base vs user templates,"/home/ (base Template) and /gallery/ (per-user UserTemplate), both Postgres, seeded base catalog.",gallery,feature,apps/editor/models.py;apps/editor/views.py,pytest,none,302e806
25,done,Unreleased,,Save as template (Crear/Actualizar),"POST/PATCH /api/user-templates/, owner-scoped; green Guardar button + modal.",editor_data,feature,apps/editor/views.py;static/editor/save-template.js,pytest,none,302e806
26,done,Unreleased,,Version history + rollback,UserTemplateRevision auto-snapshot on update; Historial UI with Restaurar + Eliminar; no-op saves don't pad history.,editor_data,feature,apps/editor/models.py;static/editor/save-template.js,pytest,none,302e806
27,done,Unreleased,,Server-side template loading,json_script seed + external seed-loader.js (external because CSP script-src 'self' blocks inline).,editor_core,feature,static/editor/seed-loader.js;templates/editor/editor.html,pytest,none,302e806
28,done,Unreleased,,Modal-based editing UI,#elementModal (inspector + structure) and #sectionModal (Contenido/Diseño/SEO/JSON); preview now full-width.,editor_core,feature,templates/editor/editor.html;static/editor/editor-core.js,none,none,302e806
29,done,Unreleased,,Floating action bar,Editar/Duplicar/Eliminar on the selected element.,editor_core,feature,static/editor/editor-ai.js,none,none,302e806
30,done,Unreleased,,Automatic global mode,Checkbox hidden; follows selection. @element chip + click-outside-to-deselect + collapsible Ver mas op list.,frontend_ai_panel,feature,static/editor/editor-ai.js,none,none,302e806
31,done,Unreleased,,PostgreSQL for local dev,Via the repo compose.yaml.,infra,infra,compose.yaml,none,none,302e806
32,done,Unreleased,,AI fill fix + AI_MAX_OPERATIONS raised + border props,background shorthand over gradients fix; AI_MAX_OPERATIONS raised 20 to 50; CSS allowlist gained border-top/right/bottom/left.,ai_security,bugfix,apps/ai_assistant/sanitize.py;config/settings/base.py,pytest,none,302e806
33,done,0.1.0,,Device Authorization flow end to end,Code / activate / token / refresh.,accounts,feature,apps/device_auth,pytest,none,302e806
34,done,0.1.0,,AI transform endpoint with input sanitizer + operation validator,Core validation pipeline for AI-driven edits.,ai_security,feature,apps/ai_assistant/operations.py;apps/ai_assistant/sanitize.py,pytest,none,302e806
35,done,0.1.0,,Swappable provider interface,Fake + OpenAI implementations.,ai_providers,feature,apps/ai_assistant/providers.py,pytest,none,302e806
36,done,0.1.0,,Editor split into template + static,Without breaking existing behavior.,editor_core,infra,static/editor/editor-core.js;templates/editor/editor.html,none,none,302e806
37,done,0.1.0,,"AI panel: connect, select, generate, preview, apply, discard",Single undo step for apply/discard.,ai_editor,feature,static/editor/editor-ai.js,none,none,302e806
38,done,0.1.0,,"Projects API, owner-scoped, with revisions",No IDOR.,projects,feature,apps/projects/views.py;apps/projects/models.py,pytest,none,302e806
39,done,0.1.0,,pytest + Node test suites green; ruff clean; Docker + Compose,Baseline quality gates established.,testing_infra,infra,pyproject.toml;package.json;Dockerfile;compose.yaml,pytest;node_test,none,302e806
40,done,Unreleased,,Tailwind CSS migration,"Styling moved from a custom JSON DSL (styles.rules: AI/editor-authored {selector, declarations} objects validated against CSS_PROPERTY_ALLOWLIST) to Tailwind utility classes on attributes.class, validated against a finite allowlist (tailwind_classes.py: is_allowed_tailwind_class/check_class_list, wired into operations.py's set_attribute and sanitize.py's check_attributes). New Tailwind v4 CLI build pipeline (pnpm run build:css): a management command materializes the class allowlist into a safelist sentinel file that is Tailwind's ONLY content source (tailwind-input.css uses source(none) plus explicit @source), since AI-chosen classes never appear in any file Tailwind could otherwise scan, and because Tailwind's default whole-project auto-scan was verified to compile any Tailwind-shaped string found anywhere (including test fixtures). Wizard document generation now authors classes inline during structure generation; the second AI call only sets the brand-color palette. The editor's per-element quick-style panel now toggles Tailwind classes instead of writing an inline style="""" attribute (a second, previously undocumented styling mechanism this consolidated away). styles.rules/mediaQueries/keyframes remain in the schema and keep rendering for backward compatibility with every pre-migration Template/UserTemplate/Project row - verified end-to-end with a hand-seeded legacy document (still renders its old CSS, its gallery thumbnail, and remains editable). Docker/CI/local setup updated to build the CSS (Node 20 required - Debian bookworm's apt nodejs is too old for Tailwind v4).",editor_core,feature,apps/ai_assistant/tailwind_classes.py;apps/ai_assistant/operations.py;apps/ai_assistant/sanitize.py;apps/ai_assistant/document_validation.py;apps/ai_assistant/prompts.py;apps/ai_assistant/wizard_service.py;apps/ai_assistant/views.py;apps/editor/management/commands/generate_tailwind_safelist.py;apps/editor/rendering.py;static/editor/editor-core.js;static/editor/tailwind-input.css;Dockerfile;.github/workflows/ci.yml;run-local.sh;package.json,pytest;node_test;playwright_e2e;docker_build_local,none,a0e2dcb
41,done,Unreleased,,"Public template publishing + storefront (products, Stripe checkout, digital downloads)","UserTemplate gains is_published/public_slug (stable once set); new GET /t/<slug>/ (PublicTemplateView) renders a full standalone document server-side (apps/editor/rendering.py's public_page_html) for anonymous visitors, no editor scripts, 404 identically for nonexistent and unpublished. New apps/storefront app: Product (price_cents, optional image, optional digital_file for downloadables, validated by real magic-byte sniffing not extension/Content-Type) and Order (the permanent purchase record, created ONLY by a signature-verified Stripe webhook, never the checkout-redirect view). PaymentProvider abstraction (FakePaymentProvider/StripePaymentProvider) mirrors the existing AIProvider/FakeAIProvider swappable pattern - PAYMENT_PROVIDER defaults to fake, tests never touch the real Stripe API. Checkout always re-reads price from the DB, never trusts the client. Digital downloads are served through a token-gated view (never a static /media/ URL) with a download-count cap; the success page explicitly handles the webhook-vs-redirect race condition via a direct provider session lookup fallback instead of assuming the Order already exists. Editor UI: Publicar/Despublicar toggle in the save modal, a Productos management page (/productos/), and an Insertar producto control that adds a real product card with a working Comprar form to the page. Verified end-to-end with real Playwright runs: publish+view+unpublish, create a product with an image and PDF (owner-scoped), insert a product card, and the full anonymous checkout -> pending -> simulated webhook -> paid flow. Real Stripe test-mode keys were not available in this environment - the full real-Stripe-hosted-checkout-page round trip was not run; only the FakePaymentProvider path was verified live.",editor_core,feature,apps/editor/models.py;apps/editor/rendering.py;apps/editor/views.py;apps/editor/urls.py;apps/editor/serializers.py;apps/storefront/models.py;apps/storefront/views.py;apps/storefront/urls.py;apps/storefront/serializers.py;apps/storefront/payments.py;apps/storefront/file_validation.py;apps/ai_assistant/sanitize.py;apps/ai_assistant/operations.py;static/editor/editor-core.js;static/editor/save-template.js;static/storefront/products.js;config/settings/base.py;config/urls.py,pytest;playwright_e2e;docker_build_local,stripe_test_mode_checkout_page_round_trip_not_verified,3b3b300
42,done,Unreleased,,Fix AI-rejected max-w-4xl class and enable YouTube/Vimeo iframe embeds,"A user-reported screenshot of the AI panel rejecting an instruction (""agrega este video de YouTube"") with a generic ""cambios no válidos"" error had two independent real causes, both found via live server-log reproduction rather than guessing from the screenshot. (1) tailwind_classes.py's max-w utility family only allowed the numeric SIZING_SCALE, missing Tailwind's separate named container-width scale (max-w-4xl, prose, none, etc.) - added MAX_WIDTH_NAMED_SCALE, scoped to max-w only (w/min-w/h/min-h/max-h unaffected). (2) iframe was fully forbidden in sanitize.py's FORBIDDEN_TAGS, silently blocking a legitimate, common request - replaced with a tag-specific src-prefix allowlist (youtube.com/embed, youtube-nocookie.com/embed, player.vimeo.com/video) so arbitrary iframe src is still rejected (clickjacking/phishing risk on now-public template pages) but real video embeds work. AI system prompt updated to convert watch URLs to embed URLs and use aspect-video instead of an arbitrary pb-[56.25%] hack. Verified end-to-end by re-running the exact original failing instruction against a live server and confirming a successful add_node operation with a working iframe.",ai_assistant,bugfix,apps/ai_assistant/tailwind_classes.py;apps/ai_assistant/sanitize.py;apps/ai_assistant/prompts.py;tests/test_tailwind_classes.py;tests/test_operations.py,pytest;manual_live_repro,none,9f259ef
43,done,Unreleased,,"""Contenido rápido"" presets (Hero/Beneficios/Texto/Imagen/Llamado/Footer) reference CSS classes that don't exist anywhere","Replaced the six legacy semantic preset class sets with finite, allowlisted Tailwind utility classes; added a regression for Hero, Image, and CTA preview rendering. Also fixed the stale removed structure-tab target that hid all panels after the first insertion.",editor_core,bug,static/editor/editor-core.js;tests/e2e/editor_ux.spec.js,playwright_e2e,none,none
44,done,Unreleased,,"Route """"Insertar producto"""" through the AI instead of a hardcoded unstyled node","productCardNode() built a product card with zero Tailwind classes (h3/p/img/form/button, no styling at all). Rather than hand-writing Tailwind classes into the deterministic template, routed the insert through the existing AI transform pipeline: EditorTransformView now populates EditorContext.available_products server-side from the requesting user's OWN active products (id/name/price_cents/image_url) - never client-supplied, so the model can't reference a product it doesn't own or invent an id. The SYSTEM_PROMPT gained an exact card-shape spec (data-product-id/data-buy-form/action) the model fills with real Tailwind classes. editor-ai.js exposes a new EditorAI.requestInstruction(text) entry point (opens the drawer, forces global_mode, sends the instruction) that editor-core.js's insertProductButton now calls instead of pushing a hardcoded node. User explicitly chose this over a quick deterministic-Tailwind fix after being shown the tradeoff (latency/cost/variability vs instant/free/consistent).",ai_assistant,feature,apps/ai_assistant/service.py;apps/ai_assistant/views.py;apps/ai_assistant/prompts.py;static/editor/editor-ai.js;static/editor/editor-core.js,manual_live_repro,none,88aeff2
45,done,Unreleased,,Double-click shortcuts: link a button to a product / change an image,"Double-click on a <button>/<a> in the preview opens a ""Vincular producto"" modal (pick from your own active products) that wraps/retargets the element into a real /comprar/<id>/ buy-form. Double-click on an <img> opens an ""Imagen"" modal with 3 tabs: previously saved uploads (new GET on WizardImageUploadView, owner-scoped), upload a new file (reuses the existing wizard upload endpoint), or paste an external URL. Both are deterministic client-side edits (getNode/getParentInfo/updateAll), no AI round-trip - user explicitly chose the deterministic product-select flow over an AI-driven one for this control, unlike the ""Insertar producto"" button (row 44) which does go through the AI.",editor_core,feature,apps/editor/views.py;static/editor/editor-ai.js;static/editor/editor-core.js;templates/editor/editor.html,manual_live_repro,none,aae0fc3
46,done,Unreleased,,Fix CSRF 403 on checkout/webhook for logged-in sessions,"CheckoutView and StripeWebhookView are @csrf_exempt + AllowAny, but DRF's default SessionAuthentication runs its own CSRF check independent of that decorator whenever it successfully authenticates a request via session cookie - a logged-in visitor (e.g. the template owner testing their own Comprar button, as reported via screenshot showing 'CSRF Failed: CSRF token missing.' on /comprar/6/) got a 403 despite the view being explicitly csrf_exempt. Fixed with authentication_classes = [] on both views (no reason to authenticate a fully public/AllowAny request at all). Existing tests never caught this because the api/anon_api fixtures use force_authenticate, which bypasses DRF's real auth+CSRF pipeline entirely - added a regression test using a real client.login() session with enforce_csrf_checks=True, verified it 403s without the fix and 302s with it.",storefront,bugfix,apps/storefront/views.py;tests/test_checkout.py,pytest;manual_live_repro,none,aa73dcf
47,done,Unreleased,,Fix fake-provider checkout stuck forever on Procesando tu pago,"With PAYMENT_PROVIDER=fake (default, no Stripe keys configured), FakePaymentProvider marked a session paid instantly but nothing ever created the Order row - that only happens in StripeWebhookView.post, and there is no real Stripe server in dev/test to ever deliver that webhook. Reproduced live: a real logged-in browser session got permanently stuck on 'Procesando tu pago... Todavia estamos confirmando tu pago' right after the checkout CSRF fix (row 46) unblocked the redirect itself. Fixed by extracting the webhook's order-creation logic into a shared _record_order_for_session() and having CheckoutView call it directly right after session creation, ONLY when the provider is FakePaymentProvider - real Stripe checkouts are untouched, still require the actual signed webhook.",storefront,bugfix,apps/storefront/views.py;tests/test_checkout.py,pytest;manual_live_repro,none,9763bc9
48,done,Unreleased,medium,UI/UX: consolidate 3 drifted design-token sets into one shared stylesheet,"Extracted the canonical palette, typography, radius, and shadow variables into static/shared/tokens.css, linked it across server-rendered surfaces, and verified it structurally and in a real browser.",ui_ux,tech_debt,static/shared/tokens.css;static/editor/editor.css;templates/editor/editor.html;templates/editor/template_wizard.html;templates/editor/home.html;templates/editor/gallery.html;templates/storefront/products.html;templates/storefront/payment_config.html;templates/storefront/success.html;templates/storefront/checkout_cancel.html;templates/registration/login.html;templates/registration/signup.html;tests/test_design_tokens.py;tests/e2e/ui_tokens.spec.js,pytest;playwright_e2e,none,
49,done,Unreleased,,Multi-gateway checkout (Stripe/Mercado Pago/PayPal/Braintree/Wompi/PayU/ePayco/Bold),"Executed per PAYMENTS.md (deleted after this close-out - see openspec/specs/storefront/spec.md for the permanent behavioral contract, CHANGELOG.md for the shipped-feature record). Buyer picks gateway at checkout; PaymentGatewayConfig is owner-scoped and Fernet-encrypted at rest (apps/storefront/crypto.py); each gateway has real+Fake* provider pair behind GATEWAY_REGISTRY (apps/storefront/payments.py); Order gained a gateway field, uniqueness scoped per (gateway, gateway_session_id); GatewayWebhookView tries every enabled seller's credentials for a gateway until one verifies the signature. New /config/ page + /api/payment-gateway-configs/ (credentials write-only, never returned). AI product-card prompt now emits one buy-form per available_gateways entry. Verified end-to-end via a real browser click-through: /config toggle -> publish page -> click real Comprar button -> gracias page, for the Stripe fake-provider path. Confidence/verification depth varies sharply by gateway (see openspec/specs/storefront/spec.md and learnings.jsonl id 2026-07-23-15): Stripe/Mercado Pago/Wompi/PayU/ePayco have local HMAC/checksum signature tests (accept+reject); PayPal/Braintree tested with mocked network/SDK calls; Bold's real webhook spec was never confirmable (JS-rendered docs returned no usable content) so BoldPaymentProvider.parse_webhook_event always raises rather than pretend to verify something unconfirmed - do not treat Bold as production-ready without first getting its real docs.",storefront,feature,apps/storefront/payments.py;apps/storefront/models.py;apps/storefront/views.py;apps/storefront/crypto.py;apps/storefront/serializers.py;apps/storefront/urls.py;apps/storefront/admin.py;apps/storefront/migrations/0002_multi_gateway_checkout.py;apps/ai_assistant/prompts.py;apps/ai_assistant/service.py;apps/ai_assistant/views.py;templates/storefront/payment_config.html;templates/storefront/payu_redirect.html;static/storefront/payment-config.js;config/settings/base.py;config/urls.py,pytest;manual_live_repro;docker_build_local,bold_webhook_spec_unconfirmed;payu_ePayco_amount_format_needs_live_reverification;mercadopago_manifest_string_needs_live_reverification,
50,done,Unreleased,,Fix legacy /comprar/<id>/ (no gateway) 404 on already-published pages,"The multi-gateway checkout migration (row 49) changed /comprar/<id>/ to /comprar/<id>/<gateway>/, but a UserTemplate's buy-form action is a literal value baked into stored state JSON at insert time - never regenerated when the URL pattern changes. An already-published page's Comprar button 404'd for real (reproduced live via screenshot: /comprar/6/). Fixed with a legacy URL (checkout-legacy, same CheckoutView, gateway=None) falling back to the seller's first enabled PaymentGatewayConfig (deterministic order) - still 404s if the seller has enabled nothing at all via /config.",storefront,bugfix,apps/storefront/urls.py;apps/storefront/views.py;tests/test_checkout.py,pytest;manual_live_repro,none,b3876b2
51,done,Unreleased,,Deliver product for free (tracked $0 Order) when seller has no gateway enabled,"Explicit user decision: rather than 404 (or an untracked silent giveaway) when a seller has zero PaymentGatewayConfig rows enabled, CheckoutView now delivers the product/downloadable directly AND creates a real, permanent Order (gateway=Order.Gateway.NONE, amount_cents=0, status=PAID) - auditable exactly like any real purchase. SuccessView accepts gateway=none. Verified end-to-end via a real browser click on a published page's Comprar button with no gateway configured at all.",storefront,feature,apps/storefront/models.py;apps/storefront/views.py;apps/storefront/migrations/0003_alter_order_gateway.py;tests/test_checkout.py,pytest;manual_live_repro,none,6f72f6a
52,done,Unreleased,low,Make PostgreSQL the canonical run-local.sh database path,"PostgreSQL is now the default DATABASE_URL in .env.example. run-local.sh detects PostgreSQL URLs, starts docker compose up -d --wait db before migrations, and reports missing Docker/Compose clearly; SQLite remains only an explicit isolated-test or fallback override.",testing_infra,configuration,run-local.sh;compose.yaml;.env.example;README.md;AGENTS.md;openspec/project.md,manual_local_run,none,
53,done,Unreleased,low,Detect occupied run-local.sh port,"run-local.sh now checks PORT before installing dependencies or building CSS, explains when an existing development server owns the port, validates the range, and supports PORT=8001 ./run-local.sh as an explicit override.",testing_infra,developer_experience,run-local.sh;README.md;AGENTS.md;openspec/project.md,manual_local_run,none,
54,done,Unreleased,low,Add safe stop-local.sh workflow,Added stop-local.sh to stop the Django development server without touching PostgreSQL by default; --db explicitly stops the compose database while preserving its volume. The script is idempotent when no matching runserver exists.,testing_infra,developer_experience,stop-local.sh;run-local.sh;README.md;AGENTS.md;openspec/project.md,manual_local_run,none,
55,done,Unreleased,high,Fix quick-insert preset styling,"Replaced the six legacy semantic preset class sets with finite, allowlisted Tailwind utility classes and fixed the stale structure-tab target. Hero, Image, and CTA preview rendering are covered by Playwright.",editor_core,bug,static/editor/editor-core.js;tests/e2e/editor_ux.spec.js,playwright_e2e,none,
56,done,Unreleased,high,Complete editor dialog keyboard and accessibility behavior,"Centralized editor dialog state in EditorModals with Escape handling, Tab trapping, backdrop/aria-hidden synchronization, labelled descriptions, and focus restoration for element, section, payment-link, image-picker, save, and AI drawer surfaces.",editor_core,accessibility,static/editor/editor-ai.js;static/editor/save-template.js;templates/editor/editor.html;tests/e2e/editor_ux.spec.js,playwright_e2e,none,
57,done,Unreleased,high,Reduce editor mobile command density,"Made the editor topbar compact at mobile widths, hid low-frequency labels without removing accessible names, wrapped/scroll-contained preview controls, added preview bottom room, and repositioned the AI FAB. Verified at 390px and 320px.",editor_core,responsive,static/editor/editor.css;templates/editor/editor.html;tests/e2e/editor_ux.spec.js,playwright_e2e,none,
58,done,Unreleased,medium,Add shared asynchronous feedback states,"Added shared AppFeedback live-region primitives and applied loading, empty, success, error, disabled, retry-preserving, and localized file-control states to products and payment configuration; editor toasts now expose semantic tones and longer error visibility. Payment configuration also exposes a non-charging credential validation action that checks stored required fields and provider initialization.",ui_ux,usability,static/shared/feedback.css;static/shared/feedback.js;static/storefront/products.js;static/storefront/payment-config.js;apps/storefront/views.py;static/editor/editor-core.js;templates/storefront/products.html;templates/storefront/payment_config.html;templates/editor/editor.html;tests/test_payment_config.py,pytest;playwright_e2e,none,
59,done,Unreleased,medium,Complete wizard asset lifecycle and labels,"Added visible upload constraints, owner-scoped asset deletion, accessible remove controls, AbortController cancellation, restart/reset recovery, network-error handling, named initial textarea, and id/for pairing for the generated template name.",ai_wizard,accessibility,apps/editor/views.py;apps/editor/api_urls.py;tests/test_wizard_upload.py;static/editor/template-wizard.js;templates/editor/template_wizard.html;static/editor/wizard.css,pytest;node_test;playwright_e2e,none,
60,done,Unreleased,medium,Improve checkout result and PayU transition states,"Made success/cancel cards fluid and accessible, added pending auto-refresh plus continue actions, and replaced the bare PayU redirect with tokenized loading copy, fallback submit/cancel controls, and a no-script message.",storefront,responsive,templates/storefront/success.html;templates/storefront/checkout_cancel.html;templates/storefront/payu_redirect.html,playwright_e2e;pytest,none,
61,done,Unreleased,low,Polish auth sizing and authenticated navigation,"Added fluid box-sizing-safe auth cards, autocomplete and field-error associations, shared authenticated navigation across workspace pages, and primary empty-state actions for home/gallery/products/config.",ui_ux,polish,apps/accounts/views.py;templates/registration/login.html;templates/registration/signup.html;templates/editor/home.html;templates/editor/gallery.html;templates/storefront/products.html;templates/storefront/payment_config.html;static/shared/navigation.css;tests/e2e/editor_ux.spec.js,pytest;playwright_e2e,none,
62,done,Unreleased,medium,Validate stored payment credentials without charging,"Added an owner-scoped POST action for each configured gateway. It reports missing required fields or provider initialization failure without returning credential values or creating a checkout session.",storefront,usability,apps/storefront/views.py;static/storefront/payment-config.js;templates/storefront/payment_config.html;tests/test_payment_config.py,pytest;playwright_e2e,none,
63,done,Unreleased,low,Add visible editor exit navigation,"Added an accessible Salir link to the editor topbar that returns authenticated users to Mis templates (/gallery/) and covered its visibility, label, and destination with a browser regression.",editor_core,navigation,templates/editor/editor.html;static/editor/editor.css;tests/e2e/editor_ux.spec.js,playwright_e2e,none,
